volume peso recompensa duração(s)
3 19 754 984
16 13 1121 641
25 28 1370 535
6 26 1991 318
16 26 1590 728
19 28 946 1021
19 16 1967 865
16 13 367 703
3 19 585 827
13 29 1511 325
23 16 868 608
25 13 1251 384
26 22 1628 925
20 13 1542 128
9 9 1137 1019
6 26 1291 1035
3 23 1410 1028
3 19 1432 1051
22 16 982 229
3 20 1645 316
13 3 621 723
10 3 1886 632
26 16 403 402
3 16 501 692
3 13 1907 307
23 16 1918 1042
25 28 724 816
6 6 564 1017
13 26 396 664
13 22 590 660
29 16 1051 169
16 13 707 359
19 25 854 790
6 3 1347 609
29 20 1991 704
25 19 1889 468
3 13 472 300
7 13 898 325
19 3 762 269
16 19 1193 338
7 23 1303 229
25 16 620 1002
19 19 1437 576
29 20 1160 237
19 19 873 118
6 19 1591 138
3 10 579 103
19 25 1263 748
16 13 1718 114
3 20 1263 905
22 13 293 191
3 19 600 422
7 26 634 751
3 9 1558 1056
26 26 1790 648
26 20 971 308
13 9 820 552
16 10 1508 454
23 26 1520 942
22 13 667 765
26 22 1348 605
3 7 1565 226
25 6 216 182
29 29 763 971
23 20 1536 804
22 19 783 277
16 6 1332 642
7 3 1823 958
28 6 1065 121
16 10 1081 1064
7 20 1880 705
16 28 1821 660
26 6 1627 732
13 10 483 694
25 28 221 802
26 26 496 520
13 20 1925 840
6 28 1820 271
29 29 1019 326
26 26 716 445
25 28 521 989
19 13 1784 152
16 20 816 1079
25 28 1909 396
10 10 588 654
26 29 1233 434
19 6 1204 453
13 3 466 937
7 20 412 756
19 9 1059 580
22 3 480 1037
13 10 738 190
9 22 909 192
10 10 1856 576
7 26 1166 552
25 6 653 107
19 22 1719 159
3 13 633 583
22 16 1819 768
26 22 1487 269
20 10 1663 207
25 6 647 415
16 6 755 874
16 10 1309 888
9 19 1281 241
22 16 644 313
10 3 547 766
16 22 1579 619
16 29 1694 404
26 7 738 375
6 22 794 783
22 3 338 357
10 26 410 192
19 22 735 193
19 13 1688 640
29 26 719 600
6 3 615 970
22 19 287 752
23 20 437 996
9 22 452 901
19 13 1537 614
13 26 1253 542
25 19 1753 524
6 10 1572 528
10 26 1229 237
13 25 1467 1058
13 26 1073 1066
10 10 1285 483
9 19 775 997
16 29 1739 656
16 29 533 935
9 6 748 381
22 13 709 953
3 3 575 287
28 9 1185 918
6 19 486 789
16 13 654 720
3 22 1662 201
16 3 262 658
3 10 1475 786
6 3 453 537
22 16 1175 863
29 10 1463 145
3 13 1889 538
6 29 1800 116
7 7 1524 189
19 13 1904 276
6 29 1859 261
3 3 715 977
13 13 1714 399
22 10 1079 154
13 29 719 531
3 16 1456 192
13 3 795 302
13 13 1008 398
22 13 1897 272
29 22 561 236
29 26 1724 482
19 25 844 478
6 26 1143 180
16 26 1789 1077
16 19 1873 697
26 19 244 1055
23 13 206 128
3 16 220 351
6 6 631 145
10 3 1641 417
9 13 211 1039
26 16 1296 524
16 29 1593 882
25 16 1200 591
6 16 1023 132
13 10 1614 331
3 19 952 540
22 13 226 631
20 10 1569 720
22 25 1227 810
